Country,Electoral_Democracy_Index_2023,GDP_per_capita_2023,Investments_percent_GDP_2023,Urbanization_percent_2023,Control of corruption 2023,Expected years of schooling
Luxembourg,0.874,128678.189942826,17.9502229880758,92.078,96.698112487793,14.503
Ireland,0.895,103887.800388081,26.3322520716791,64.466,92.9245300292969,19.569
Switzerland,0.887,99564.710026145,24.5764946902913,74.202,97.1698150634766,16.799
Norway,0.884,87925.0944188399,25.8760167755779,83.995,99.0566024780273,19.719
Singapore,0.403,84734.2559206054,21.0190163289694,100.0,98.1132049560547,16.89
United States,0.843,82769.4122114216,21.5410327347688,83.298,83.0188674926758,16.825
Denmark,0.916,68453.8769281145,22.8265168619473,88.495,100.0,19.329
Iceland,0.844,79636.9548578508,24.8660780868475,94.042,91.9811325073242,20.192
Qatar,0.086,80195.874646942,,99.354,75.0,15.079
Australia,0.855,64820.9117890026,23.9740168793693,86.617,95.7547149658203,21.482
Sweden,0.881,55516.836477474,24.9988036783869,88.738,97.6415100097656,20.707
Netherlands,0.843,64572.0059558854,19.9597414384989,93.179,96.2264175415039,18.946
Austria,0.846,56033.573792065,25.4080151070422,59.53,83.4905624389648,16.809
Finland,0.865,52925.6897638424,22.8139177520855,85.773,99.5283050537109,20.658
Germany,0.854,54343.2265084958,21.6725400485002,77.765,94.3396224975586,17.357
Belgium,0.898,54700.9093236712,25.3297303497481,98.189,89.1509399414062,20.069
Canada,0.848,53431.1857063879,24.0198953024404,81.862,94.8113174438477,16.458
France,0.876,44690.9345395117,23.1533644509286,81.777,83.9622650146484,16.574
New Zealand,0.878,48280.8114166238,23.5633177564404,86.985,98.5849075317383,19.733
Japan,0.828,33766.5268253808,26.1770855676398,92.043,90.0943374633789,15.476
United Kingdom,0.847,49463.8554617343,17.1673537304198,84.642,90.5660400390625,18.399
Italy,0.816,39003.3160954123,22.75497093188,71.973,67.9245300292969,17.266
South Korea,0.733,33121.3712885508,32.129273979048,81.456,79.7169799804688,16.284
Spain,0.85,33509.0127982139,21.004602475833,81.552,71.698112487793,18.501
Israel,0.72,52642.4267486308,26.112915649354,92.854,78.7735824584961,15.469
Kuwait,0.316,33729.7985494456,,100.0,60.3773574829102,16.192
Brunei,,32962.9065121916,29.5631702814335,79.149,88.6792449951172,13.599
United Arab Emirates,0.102,49040.6947525825,27.078656324271,87.779,82.5471725463867,16.072
Slovenia,0.757,32610.110922729,22.2261745390109,56.088,77.3584899902344,18.398
Czech Republic,,31591.1770732969,27.9925844224832,74.552,76.8867950439453,17.458
Malta,0.778,40395.7692064458,19.5540820486903,94.941,58.4905662536621,16.624
Portugal,0.851,27331.2094945255,20.5193634906027,67.906,74.0566024780273,17.875
Slovakia,0.817,24491.3771867262,19.3066196572379,54.027,61.3207550048828,15.522
Cyprus,0.778,36551.41796875,20.5141680170979,66.987,62.7358474731445,16.938
Estonia,0.895,30133.304450454,27.694515970385,69.81,91.5094375610352,16.858
Lithuania,0.788,27786.0057829276,21.9341715222081,68.694,77.8301849365234,17.031
Poland,0.59,22056.6661704127,17.5207328294543,60.218,68.8679275512695,17.556
Latvia,0.847,22502.8429938094,23.9940062166001,68.671,74.5283050537109,17.257
Greece,0.74,23400.7278817691,16.7312327593368,80.673,58.0188674926758,21.028
Croatia,0.744,21865.4562838641,23.2818000891938,58.575,59.9056587219238,17.298
Hungary,0.437,22141.8669799276,25.3457083347974,72.864,54.7169799804688,15.838
Trinidad and Tobago,0.755,20016.1503008736,,53.439,41.0377349853516,
Russia,0.19,13817.0458984375,25.6976089444481,75.331,15.5660381317139,13.232
Turkey,0.285,13105.6585678319,29.9641679336776,77.463,34.9056587219238,19.738
Romania,0.674,18404.2730871704,25.7736168430604,54.672,56.1320762634277,14.627
Kazakhstan,0.271,12918.8661346014,29.743445170011,58.179,47.1698112487793,14.164
Bulgaria,0.67,15885.5391311331,19.749565552763,76.701,50.0,15.704
Malaysia,0.507,11379.0861000632,22.4702448103035,78.716,61.7924537658691,13.056
